  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   3.058196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.444  11       61.3870    409.4847    6.67055021    80.19933     3.511     3.016     3.906    7362.4    7741.1    7061.7  0.859115  0.798513  1.024255  1.050415  0.6167751  0.6010846  0.4410538  0.5905828   0.08059    25.603   0.03798    11.608     34.3831    45.61469   0.0162954   0.1346133   0.2210107   0.1411570  -0.06520   0.053083954   0.013136117   0.020680607   0.029507414     1.2530     0.22878   0.702430     0.77274   0.037001    0.70990    0.57034    0.40078    0.31204   0.291477   0.103002   0.167740   0.171089   1.000000   0   600     0   1   0.00000000    168689   50.006  14.6882  3.53188  3.53188   0.93615   0.95594   0.28338   1.00000   0.04114   0.40643   6.35068   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
     1   27.650   28.988   80.486   61.189   -1.980   9.1549    362.4789  2.422   0.4338  95.0341   0.9399  -0.0000   0.0000   0.0000   0.9498   0.0000      0.0     1    7.841    251963   0.9400   0.9398     2.22846   1.0000000
     2   23.110   28.810   77.821   60.667   -1.974   8.7875    343.4863  2.485   0.4450  94.9122   0.9397   0.0005   0.0000   0.0000   0.9481   0.0000      0.0     1    7.281    257041   0.9398   0.9396     3.10231   1.0000000
     3   26.740   28.541   74.895   60.838   -1.967   8.4874    325.3791  2.556   0.4564  94.7762   0.9394   0.0004   0.0000   0.0000   0.9466   0.0000      0.0     1    7.214    247227   0.9396   0.9393     2.74842   1.0000000
     4   22.050   25.291   71.203   63.625   -1.956   7.3380    220.6724  2.738   0.4653  94.5805   0.9391   0.0021   0.0000   0.0000   0.9276   0.0000      0.0     1    6.491    232054   0.9393   0.9389     4.63666   1.0000000
     5   20.220   25.287   67.794   60.211   -1.943   6.7903    206.5799  2.816   0.4786  94.3819   0.9387  -0.0129   0.0002   0.0000   0.9279   0.0002      0.1     1    6.061    235296   0.9389   0.9386     2.18094   1.0000000
     6   20.020   25.035   66.263   60.187   -1.935   6.4802    193.2304  2.920   0.4919  94.2875   0.9386  -0.0133   0.0006   0.0000   0.9248   0.0003      0.3     1    5.811    236062   0.9386   0.9385     0.88095   1.0000000
     7   16.550   20.416   61.191   68.798   -1.905   5.3409    105.8396  3.302   0.4956  93.8840   0.9378  -0.0095   0.0116   0.0000   0.8704   0.0112      2.9     1    5.049    206998   0.9385   0.9371     9.26385   1.0000000
     8   13.530   18.239   51.054   68.418   -1.805   4.2841     67.6504  3.654   0.5032  92.9112   0.9360  -0.0078   0.0680   0.0000   0.8220   0.0555     11.5     1    3.989    190652   0.9371   0.9348    11.00908   1.0000000
     9   12.780   18.606   45.308   61.249   -1.714   3.7546     61.6108  3.805   0.5233  92.2943   0.9348  -0.0071   0.1124   0.0000   0.8199   0.0067     18.2     1    3.487    192260   0.9348   0.9347     0.48359   1.0000000
    10   13.940   18.056   44.869   64.616   -1.706   3.5519     54.8798  4.118   0.5427  92.2419   0.9347  -0.0068   0.1180   0.0000   0.8003   0.0057     17.1     1    3.507    184718   0.9347   0.9346     0.39406   1.0000000
    11   13.630   17.802   44.006   64.604   -1.690   3.2531     48.8589  4.432   0.5637  92.1306   0.9344  -0.0066   0.1305   0.0000   0.7908   0.0210     17.1     1    3.418    182923   0.9346   0.9343     1.33239   1.0000000
    12   14.720   16.172   42.696   70.795   -1.663   2.8582     35.3902  5.019   0.5767  91.9485   0.9341  -0.0050   0.1516   0.0000   0.7480   0.0244     14.8     1    3.315    167882   0.9343   0.9339     1.28697   1.0000000
    13   14.370   15.883   40.428   70.211   -1.613   2.5416     30.3376  5.496   0.5994  91.5893   0.9333  -0.0041   0.1975   0.0000   0.7185   0.0690     17.5     1    3.139    163807   0.9339   0.9328     3.24857   1.0000000
    14   15.150   15.962   38.650   67.161   -1.571   2.2655     27.2865  5.924   0.6228  91.3005   0.9327  -0.0037   0.2337   0.0000   0.7072   0.0096     19.5     1    3.014    162611   0.9328   0.9327     0.30885   1.0000000
    15   14.840   15.134   37.620   72.096   -1.545   2.0374     22.0627  6.705   0.6428  91.1080   0.9324  -0.0033   0.2613   0.0000   0.6656   0.0554     18.2     1    2.927    155126   0.9327   0.9320     1.75111   1.0000000
    16   11.980   13.928   33.907   71.580   -1.444   1.6340     14.9526  7.631   0.6546  90.2348   0.9305  -0.0024   0.3927   0.0000   0.5736   0.2130     22.0     1    2.466    150420   0.9320   0.9290     5.67371   1.0000000
    17   12.100   14.114   29.883   60.758   -1.331   1.3085     12.2995  8.198   0.6747  89.1483   0.9281  -0.0021   0.5359   0.0000   0.5261   0.1571     30.0     1    2.147    151063   0.9290   0.9272     2.37525   1.0000000
    18   11.520   15.240   26.439   41.523   -1.245   0.9553     10.4626  8.283   0.6975  87.4657   0.9242   0.0003   0.7633   0.0000   0.4957   0.4403     50.2     1    1.812    165968   0.9272   0.9212     4.51232   1.0000000
    19   12.430   15.755   23.413   32.946   -1.189   0.7485      8.7551  8.669   0.7167  85.6269   0.9196   0.0022   0.9565   0.0000   0.4419   0.2670     70.5     1    1.588    170524   0.9212   0.9181     1.53988   1.0000000
