  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   2.558196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.450   0       40.0217    399.9998    9.99456205    85.01360     1.342     0.980     1.638    4116.6    4052.0    4169.4  0.730297  0.745177  0.972547  1.007697  1.3802838  0.2070907  0.1397524  0.0000000   0.01988     9.265   0.01988     9.265     21.3396     8.94473   0.0000000   0.1039295   0.0342654   0.3048210  -0.02511   0.003157935   0.100091870   0.000195404   0.057989927     0.9326     0.28833   0.204503     0.28665   0.015878    0.63803    0.48558    0.26852    0.30680   0.279449   0.088689   0.165440   0.173483   1.000000   0   600     0   1   0.00000000    118359   51.671  14.6879  2.74139  2.74139   2.52081   2.87080   0.04445   1.00000   0.02115   0.39905   1.78612   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
     2   31.758   38.827   53.496   27.707   -1.835   5.6294    399.9998  2.389   0.4500  95.0464   0.9399   0.0001   0.0000   0.0000   0.8003   0.0000      0.0     1    7.576    218573   0.9400   0.9399     0.65142   1.0000000
     3   29.444   34.746   52.805   33.630   -1.827   5.9439    338.2492  2.458   0.4591  94.9723   0.9398   0.0001   0.0000   0.0000   0.7417   0.0000      0.0     1    7.588    196531   0.9399   0.9397     0.72989   1.0000000
     4   28.288   32.662   52.074   37.713   -1.818   6.0703    305.2648  2.537   0.4692  94.9032   0.9397   0.0001   0.0000   0.0000   0.7069   0.0000      0.0     1    7.573    184572   0.9397   0.9396     0.73321   1.0000000
     5   24.107   26.065   50.555   63.088   -1.798   7.3441    235.2309  2.799   0.4817  94.8081   0.9395   0.0002   0.0000   0.0000   0.5543   0.0000      0.0     1    7.951    144316   0.9396   0.9394     2.30535   1.0000000
     6   13.724   18.114   46.253   57.474   -1.731   4.4589     68.9490  2.919   0.4126  94.2328   0.9385   0.0004   0.0044   0.0000   0.5532   0.0044      0.7     1    5.218    137999   0.9394   0.9375     6.29710   1.0000000
     7   14.085   17.814   40.959   55.027   -1.625   3.9472     59.0344  3.104   0.4327  93.3415   0.9368   0.0004   0.0277   0.0000   0.5432   0.0226      3.9     1    4.562    134047   0.9375   0.9361     4.29135   1.0000000
     8   14.540   17.658   38.036   53.208   -1.555   3.5650     52.3895  3.295   0.4533  92.8097   0.9358   0.0003   0.0567   0.0000   0.5302   0.0191      7.3     1    4.216    131684   0.9361   0.9355     1.55486   1.0000000
     9   14.590   17.339   36.770   53.379   -1.522   3.2784     46.4525  3.529   0.4741  92.5589   0.9353   0.0003   0.0756   0.0000   0.5149   0.0161      8.8     1    4.062    129258   0.9355   0.9351     0.97758   1.0000000
    10   13.926   16.273   35.746   54.796   -1.495   2.8875     36.0360  3.860   0.4886  92.3360   0.9348   0.0003   0.0953   0.0000   0.4908   0.0224      8.8     1    3.850    124683   0.9351   0.9346     1.06929   1.0000000
    11   14.039   15.808   34.070   53.471   -1.449   2.4941     29.3725  4.236   0.5126  91.9126   0.9340   0.0003   0.1399   0.0000   0.4661   0.0593     11.2     1    3.612    122215   0.9346   0.9334     2.28247   1.0000000
    12   13.158   14.428   32.277   59.272   -1.398   2.1866     21.4542  4.889   0.5334  91.4336   0.9330   0.0003   0.1933   0.0000   0.3960   0.0474     12.0     1    3.390    113201   0.9334   0.9327     1.30448   1.0000000
    13   13.214   14.043   30.593   56.144   -1.351   1.8071     16.7954  5.454   0.5599  90.8991   0.9319   0.0002   0.2625   0.0000   0.3642   0.0984     14.0     1    3.140    111707   0.9327   0.9312     2.06301   1.0000000
    14   11.336   12.301   28.138   58.831   -1.285   1.4022     10.0013  6.452   0.5716  89.9037   0.9298   0.0002   0.3974   0.0000   0.2552   0.1916     15.0     1    2.739    103102   0.9312   0.9284     2.84724   1.0000000
    15   13.209   17.200   52.126   60.320   -1.819   4.4289     61.7506  2.928   0.4000  94.8282   0.9395   0.0004   0.0000   0.0000   0.5478   0.0000      0.0     1    5.790    138087   0.9399   0.9392     2.08795   1.0000000
    16   11.561   14.130   42.068   72.936   -1.650   3.7769     35.5426  3.411   0.4036  92.9099   0.9360   0.0004   0.1018   0.0000   0.4093   0.1018      9.4     1    4.562    115013   0.9392   0.9327    18.02896   1.0000000
    17   14.478   15.075   30.882   53.206   -1.359   2.8836     30.8859  3.477   0.4289  90.6885   0.9315   0.0002   0.2532   0.0000   0.3904   0.1264     24.5     1    3.305    114603   0.9327   0.9302     4.34275   1.0000000
    18   14.149   14.069   27.644   63.038   -1.273   2.7968     26.0942  3.964   0.4559  89.8593   0.9297   0.0002   0.3428   0.0000   0.2764   0.0748     31.4     1    3.109    101917   0.9302   0.9292     2.13403   1.0000000
    19   13.140   12.660   25.856   76.588   -1.232   2.5013     18.8957  4.846   0.4925  89.4583   0.9288   0.0002   0.3909   0.0000   0.1815   0.0551     27.6     1    2.969     90806   0.9292   0.9285     1.44067   1.0000000
    20    9.035   11.855   45.270  102.115   -1.714   3.9564     26.2080  3.825   0.3951  93.7015   0.9375   0.0006   0.0280   0.0000   0.3565   0.0280      1.7     1    4.868    103774   0.9392   0.9357    11.62396   1.0000000
    21    8.693   10.327   36.217  112.458   -1.508   3.2367     16.2682  4.485   0.4095  92.1815   0.9345   0.0006   0.1067   0.0000   0.2584   0.0732      4.5     1    3.801     89831   0.9357   0.9333     6.48344   1.0000000
    22    8.415    9.264   31.512  113.834   -1.376   2.3340      9.4417  5.649   0.4515  91.2234   0.9326   0.0005   0.1949   0.0000   0.1854   0.0785      5.4     1    3.185     82193   0.9333   0.9318     2.92619   1.0000000
    23   13.841   18.247   48.500   58.971   -1.768   4.4632     70.0339  3.014   0.4275  94.3802   0.9387   0.0004   0.0012   0.0000   0.5512   0.0012      0.2     1    5.540    138950   0.9396   0.9378     6.41401   1.0000000
    24   13.450   17.285   44.939   61.695   -1.708   4.0491     57.0131  3.292   0.4470  93.8393   0.9377   0.0004   0.0039   0.0000   0.5298   0.0022      0.5     1    5.072    132185   0.9378   0.9376     0.70837   1.0000000
    25   12.668   15.695   41.894   70.932   -1.646   3.7219     43.2065  3.739   0.4667  93.3624   0.9368   0.0004   0.0273   0.0000   0.4674   0.0243      2.8     1    4.731    120704   0.9376   0.9360     5.38176   1.0000000
    26   13.542   15.592   36.450   63.615   -1.514   3.0767     35.2540  4.030   0.4914  92.4161   0.9350   0.0004   0.0980   0.0000   0.4458   0.0686      8.9     1    4.037    118257   0.9360   0.9340     5.50588   1.0000000
    27   14.113   15.009   31.283   52.161   -1.370   2.2564     23.9573  4.337   0.5055  91.1435   0.9324   0.0002   0.2370   0.0000   0.4060   0.1502     17.4     1    3.262    116914   0.9340   0.9309     4.82786   1.0000000
    28   14.981   15.283   27.868   42.825   -1.278   1.7723     19.5098  4.617   0.5316  89.9871   0.9300   0.0001   0.3710   0.0000   0.3745   0.1302     26.3     1    2.827    119118   0.9309   0.9291     2.00203   1.0000000
    29    6.700    8.186   37.253  151.590   -1.535   3.1469      9.9398  4.930   0.3716  92.3485   0.9349   0.0007   0.0867   0.0000   0.1764   0.0494      2.2     1    3.734     79361   0.9357   0.9340     4.40994   1.0000000
    30    5.744    6.615   30.188  119.354   -1.339   2.2583      4.6567  4.370   0.2361  89.4775   0.9289   0.0006   0.3269   0.0000   0.0663   0.2265      5.2     2    2.439     74776   0.9327   0.9250     5.72992   1.0000000
    31   10.464   10.545   27.676   66.809   -1.273   1.2963      6.7940  6.794   0.5426  89.5548   0.9290   0.0002   0.4432   0.0000   0.1814   0.2642     12.1     1    2.567     94334   0.9312   0.9269     3.77188   1.0000000
